Vds,Id,Vgs
0.0,0.0,20
0.182118948068203,5.0414634026375,20
0.430463312655232,12.2056343869209,20
0.678807677242262,19.3698053712044,20
0.960264118516325,27.0646785556904,20
1.22516452144687,33.4328316663775,20
1.45695284769038,39.535648859838,20
1.75496659045272,47.4958478396343,20
2.06953637155857,53.8639908284049,20
2.35099281283264,60.7628461392946,20
2.71523070896904,68.1923732846376,20
3.04635652841842,74.8258724344678,20
3.39403964935606,82.2553894578943,20
3.75827754549247,88.0928707341282,20
4.08940336494184,93.9303418884456,20
4.50331063925356,100.298505121049,20
4.85099249704645,105.870640358139,20
5.23178769467113,111.442785717147,20
5.59602559080754,117.014926015196,20
6.05960224329456,123.11773308674,20
6.49006555594979,128.159201550335,20
6.88741679191799,133.200659892015,20
7.28476802788619,137.976782316467,20
7.78145675706025,142.752899679962,20
8.21192006971548,147.529022104415,20
8.67549545905775,151.509121594313,20
8.9900652401636,154.427854640992,20
9.33774709795649,157.611938787773,20
