Vsd,Is
0.0,0.0
0.743546103276792,1e-09
1.28055096573561,2e-09
1.65232362342935,0.690846314010739
1.98278882084881,2.34887325104523
2.27194498221536,4.55957934758396
2.47848543514403,7.5993094541181
2.70568040609915,11.6062043714587
2.91222085902782,14.5077673234864
3.12908817702506,16.9948182705163
3.29432038179014,19.6200311013136
3.49053396965024,22.7979230916152
3.59380419611457,25.6994807729038
3.77969013101679,29.291879497464
3.88296035748113,32.0552647535069
4.05852021520408,36.7530217970756
4.20309868983201,40.7599272558944
4.29604126333847,44.9050051399588
4.40963914276068,49.1882554492689
4.51290936922501,52.7806541738291
4.5955250776629,56.6493898427718
4.69879530412724,61.8998260458447
4.791738665523,66.1830737197852
4.87435516185019,70.1899818139736
4.93631714015093,73.2297066497686
5.04991423168383,79.309155003674
