Vgs,Id,Vds
0.0,0.0,20
3.10112365329675,1e-09,20
6.56179964546891,2e-09,20
7.95505558260013,3.46819587773784,20
8.9438207641031,7.7071223674498,20
9.70786600169496,12.3313957879197,20
10.3820215472518,18.1117467511216,20
11.1011219388261,25.0481752570556,20
11.8202223304005,33.5260098612504,20
12.4044924700988,41.2331322287003,20
12.9887626097971,49.7109852081242,20
13.5730327494953,59.730244285809,20
14.1123580431761,69.3641564327359,20
14.6067427770158,78.9980685796627,20
15.1011232246791,89.0173276573475,20
15.5955036723423,98.6512398042744,20
15.999998714147,107.899805020443,20
16.4494386019692,117.53371716737,20
16.898874203615,127.938341551042,20
17.3932589374547,139.113678171458,20
18.0674144830115,154.527941281587,20
18.6516846227098,168.400761542997,20
19.2808996084256,182.658965485623,20
20.0,198.458584714124,20
