Vds,Id,Vgs
0.0,0.0,18
0.0772544895831513,12.2093082119023,18
0.2188842987188,27.3255597176125,18
0.386265964568145,44.7674146510055,18
0.540772782618577,59.3023018942724,18
0.695279600669008,73.837164741221,18
0.84978641871944,88.372051984488,18
1.03004293236769,103.488376679152,18
1.19742459821704,118.604652581181,18
1.39055812078008,134.302317141971,18
1.58369164334312,149.999981702761,18
1.78970001370507,166.279059318631,18
1.95708167955442,179.651169244374,18
2.16309004991637,194.767445146403,18
2.35622357247941,209.302320191511,18
2.54935601448451,223.255806577857,18
2.7553654654044,238.372094678044,18
3.01287538807788,256.395350468358,18
3.23175968679668,271.511626370386,18
3.45064398551548,286.627890074256,18
3.64377642752058,300.0,18
