Vsd,Is
0.0,0.0
0.711864714169049,1e-09
1.41101717743436,0.764817573257304
1.72881384862969,1.91204794477491
1.98305139895035,4.58890945117549
2.21186444746354,8.60420772822382
2.37711837510208,12.6195019936405
2.52966111865887,17.5908242430763
2.6567793604082,22.7533448683789
2.7711864180758,27.3422543195544
2.91101691072886,32.1223661582284
3.07627083836739,37.2848948067944
3.25423701690966,43.4034434161161
3.40677976046645,50.0956072111967
3.55932250402325,56.0229373864933
3.68644074577258,62.3326883833136
3.82627017160365,68.2600346051369
3.95338948017498,74.7609879894556
4.08050772192431,81.8355726060598
4.22033928139937,89.1013355403726
4.39830439311963,100.0
