Vsd,Is
0.0,0.0
1.7290753358992,1e-09
1.98237878799845,0.588233818324007
2.16960395545442,1.9607843809459
2.42290740755367,4.11764607801657
2.63215866989073,7.45098102158437
2.80836994966448,9.99999922085428
3.02863425944209,12.7450966061986
3.25991161666024,15.6862769175169
3.49118981412005,18.8235289351108
3.70044023621545,21.960792172403
3.94273148111582,25.8823609342948
4.18502188577452,29.6078430303133
4.39427314811158,33.5294117922051
4.59251136300809,37.4509805540969
4.81277567278569,41.7647076881376
5.0330399825633,46.4705931943273
5.2973564821031,52.1568634111912
5.50660774444016,57.2549072895298
5.73788510165831,62.7451020602186
5.94713636399537,68.0392213847323
6.18942760889573,74.7058837920691
6.40969191867334,80.9804102666534
6.61894234076874,87.0588238960685
6.85022053822855,93.3333354110552
7.07048484800616,99.8039298520157
7.26872222266101,105.882358441028
7.45594739011697,112.549028328164
7.67621169989458,119.607849107649
