Vsd,Is
0.0,0.0
0.120219466357755,1e-09
0.590164829067002,2e-09
0.699454085689836,0.473374793861751
0.765028006541432,1.42011817423788
0.819672634852849,3.07692250393716
0.863388429221458,5.08875730829802
0.928962350073054,7.33728199252871
0.972678144441663,9.23076875328097
1.02732323135045,11.3609466353725
1.09836133987476,14.7928996139712
1.15300596818618,17.1597636515242
1.21311524276769,19.6449695253384
1.24043755692339,21.7751474074299
1.30601147777499,24.3786976004443
1.3497272721436,26.3905311633357
1.42076538066792,29.8224891078123
1.4754104675767,32.54437617121
1.56284205631392,35.9763291498088
1.63934481110832,39.6449707668079
1.69398943941974,42.4852046323447
1.77049219421415,45.5621271362818
1.86338842922145,49.7041410642037
1.90710422359006,52.5443798956184
1.96174885190148,54.9112414502325
2.02185812648299,57.8698221179084
2.07650321339177,60.0
