Vsd,Is
0.0,0.0
1.824526048,1e-09
2.243269531,2.599705305
2.632103201,7.799115914
3.13060771,14.18020584
3.45962099,19.37961645
3.948155561,27.65140318
4.416749496,36.86854509
4.695912325,43.72230133
5.064805358,52.23043024
5.343968187,60.2658748
5.60319038,67.59231989
5.792622246,73.73707215
5.9322029,77.9911321
6.061814377,82.71786738
6.181455155,86.49926101
6.281156056,90.51697878
6.430707409,95.00739893
6.580258762,101.1521332
6.749750752,106.3515438
6.929211918,112.9689714
7.098703908,119.8227501
7.278165075,126.4401687
7.427716428,133.5302716
7.597208417,140.3840414
7.726819133,146.5287936
7.85643061,152.4372127
8.065802352,160.4726663
