Vds,Id,Vgs
0.0,0.0,15
0.204342652077685,3.20000050862629,15
0.395913012981234,5.79047780285612,15
0.600255665058919,8.38095509708596,15
0.855683218921869,11.8857172129104,15
1.14942521035792,15.5428564992891,15
1.40485276422087,18.7428570079154,15
1.69859475565692,22.2476191237399,15
1.9540229185072,25.1428507590781,15
2.27330766532955,28.6476201409925,15
2.57982072996509,31.999997820173,15
2.84801996601485,34.8952367216011,15
3.1034475198778,37.3333295791869,15
3.39719012030118,40.2285757467048,15
3.72924533133569,43.276191818687,15
4.15070231767787,46.9333347381107,15
4.61047313260583,50.4380968539352,15
5.1468703867307,54.400001380557,15
5.79821156256221,58.514286710778,15
6.41123769183329,62.1714296302016,15
7.0625788676648,65.3714301388279,15
7.84163321144046,68.8761886216075,15
8.77394530550853,72.0761873137113,15
9.48914367429945,74.2095203806214,15
10.0,75.2761896388601,15
