Vgs,Id,Vds
0.0,0.0,20
3.61602312211975,1e-09,20
4.44751252076036,1.10019915445717,20
5.04696074649503,1.8860492695035,20
5.6464089722297,3.14342294366612,20
6.24585535384308,5.18663923838145,20
6.82596612362343,8.17288766234214,20
7.30939145775351,11.7878191761373,20
7.73480626814195,16.1886082994724,20
8.04419818692579,20.1178813581849,20
8.46961115319293,26.2475452313181,20
8.72099254823513,30.805501379865,20
9.01104885518596,35.8349735930347,20
9.26243025022816,41.1787836038747,20
9.49447418931604,46.2082520697976,20
9.74585558435824,51.7092328530963,20
9.97789952344612,57.2102173836418,20
10.209943462534,62.2396858495646,20
10.5193353813178,68.8408620400737,20
10.848064756056,74.9705277868303,20
11.2154671985815,80.0,20
