Vsd,Is
0.0,0.0
0.705288994844692,1e-09
2.00251906943247,1.12149432753144
2.26700274277452,2.99065154008384
2.48110863077051,6.35514789194512
2.68261977215471,10.0934667734722
2.98488648423101,14.9532755261085
3.35012572826515,20.9345786062762
3.6397988948308,25.7943873589124
4.05541592421099,34.3925372751874
4.42065516824514,42.9906515400838
4.67254409497539,49.7196264181171
4.96221726154103,57.9439270661923
5.18891669504768,65.0467333867361
5.42821207626728,72.8971936794562
5.70528929511998,82.6168200975734
5.91939518311597,90.8411296584932
6.14609461662262,99.4392617490789
6.38539119894336,109.15889708004
6.63728012567361,120.0
6.87657430579206,130.467298215982
7.14105797913411,142.429904376318
7.38035275980313,154.392546188032
7.60705279386035,165.607507289035
7.80856453579512,175.700947323974
8.01007567717932,186.542068069622
8.26196460390957,200.0
