t(s),Z(C/W)
1.03146E-06,0.008327558
2.039E-06,0.011755481
3.90776E-06,0.01659446
8.0923E-06,0.023726357
1.70193E-05,0.034800834
3.16228E-05,0.047279896
5.87569E-05,0.06505918
0.000110877,0.089524295
0.00020285,0.117055526
0.00036541,0.157012176
0.000668516,0.213314413
0.001261529,0.282498839
0.002237565,0.360061776
0.003560979,0.436070103
0.005845429,0.495460561
0.009897273,0.555797598
0.019264308,0.584922032
0.049552722,0.600051303
0.32786502,0.600051303
0.969498834,0.592438374
