Vgs,Id,Vds
0.0,0.0,20
3.68589745287881,1e-09,20
4.18803382576478,0.321104171664409,20
4.59401701477066,0.963304348974906,20
5.11752139582366,1.81957669606778,20
5.59829057564876,2.99694504880676,20
6.03632455424594,4.70948157697421,20
6.35683734079601,6.31498610325962,20
6.66666653081563,8.56269080685555,20
6.93376051960735,10.9174356783518,20
7.17948650023204,13.0581083800656,20
7.4999992867821,16.6972495231737,20
7.72435888945208,20.1223266625178,20
7.93803408048545,23.4403717999798,20
8.1623920529431,27.5076491166344,20
8.3547000509156,31.2538263446337,20
8.56837524194898,36.1773719253719,20
8.71794885379974,40.4587173287997,20
8.88888802849904,45.4892989944292,20
9.07051161483494,51.3761489241423,20
9.23076800810998,57.2629988538555,20
9.40170881302161,63.5779818948583,20
9.54059801323577,69.5718668887104,20
