Vgs,Id,Vds
0.0,0.0,
3.96754084530594,1e-09,
4.99875236080199,1.20298111632199,
5.6803990098514,3.00750958103423,
6.23969927578672,5.7142581079243,
6.72908774189249,9.02255398320458,
7.18352030808348,13.2330573006117,
7.67290877418925,19.248101702782,
8.12733987355551,26.4661650814272,
8.52933785646198,33.9849642741147,
8.87889978925919,42.1052603349886,
9.19350728896635,50.5263174500067,
9.50811332184879,59.248122999118,
9.8052421381862,69.1729222846023,
10.1198496378933,79.3984952442816,
10.4169784542307,90.827061940334,
10.7665403870279,104.360899225166,
11.0636692033653,115.789465921218,
11.3782767030725,128.721800027839,
11.797751902524,144.661653180531,
12.2172271019755,160.0,
