Vsd,Is
0.0,0.0
1.56054288956152,1e-09
1.79540719205826,0.261865838230187
1.96764077497287,0.392799225597778
2.13465562899799,0.785597202522232
2.23382023816373,1.14566276910978
2.33820437260673,1.73486051491729
2.4112733463556,2.22585884453576
2.48434232010447,2.74959052099614
2.55219216676996,3.33878889114031
2.60960336107483,3.89525329010592
2.6826723348237,4.58265232511245
2.7557409103787,5.40098287447658
2.82359075704419,6.08837941213646
2.90709798495981,6.84124326781679
2.98016695870868,7.4959077073081
3.06889331370768,8.21603884048319
3.14196228745655,8.96890269616353
3.22025038828879,9.65630110683339
3.30375761620442,10.540097101208
3.39770349648066,11.2929622055616
3.47077247022953,12.2094921711148
3.55949882522852,13.1587548591732
3.64300605314414,14.2389521832725
3.71607502689301,15.1227481776471
3.78392487355851,16.104744836884
3.85699384730738,17.1194754672995
3.93528194813962,18.1342048490417
3.98747401536112,18.9852681209111
4.05532346383274,19.9345320576428
